PeakID (cmd=annotatePeaks.pl filtrd_peaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr2-422	chr2	173037348	173037488	+	1	NA	Intergenic	CpG	69684	NR_126376	104326193	Hs.600690	NR_126376	ENSG00000236651	DLX2-DT	DLX2-AS1|TCONS_00003049	DLX2 divergent transcript	ncRNA
chr7-65	chr7	101252142	101252337	+	1	NA	Intergenic	Intergenic	20337	NM_138403	93408	Hs.247831	NM_138403	ENSG00000106436	MYL10	MYLC2PL|PLRLC	myosin light chain 10	protein-coding
chr1-1029	chr1	203290181	203290393	+	1	NA	Intergenic	Intergenic	15623	NM_006763	7832	Hs.519162	NM_006763	ENSG00000159388	BTG2	APRO1|PC3|TIS21	BTG anti-proliferation factor 2	protein-coding
chr7-77	chr7	1215909	1216049	+	1	NA	Intergenic	ERV3-16A3_I-int|LTR|ERVL	15558	NR_110070	101927021	Hs.529566	NR_110065		LOC101927021	-	uncharacterized LOC101927021	ncRNA
chr16-102	chr16	56404861	56405077	+	1	NA	intron (NM_001323511, intron 10 of 13)	intron (NM_001323511, intron 10 of 13)	53938	NM_001323511	267	Hs.295137	NM_001144	ENSG00000159461	AMFR	GP78|RNF45	autocrine motility factor receptor	protein-coding
chr9-258	chr9	96339815	96339958	+	1	NA	intron (NM_005392, intron 1 of 21)	intron (NM_005392, intron 1 of 21)	977	NM_005392	5253	Hs.211441	NM_005392	ENSG00000197724	PHF2	CENP-35|GRC5|JHDM1E|KDM7C	PHD finger protein 2	protein-coding
chr1-5	chr1	115300615	115300835	+	1	NA	promoter-TSS (NM_001242893)	promoter-TSS (NM_001242893)	-54	NM_001007553	7812	Hs.69855	NM_007158	ENSG00000009307	CSDE1	D1S155E|UNR	cold shock domain containing E1	protein-coding
chr19-232	chr19	44331565	44331627	+	1	NA	5' UTR (NM_001297752, exon 1 of 6)	5' UTR (NM_001297752, exon 1 of 6)	123	NM_181845	284349	Hs.652513	NM_181845	ENSG00000167637	ZNF283	HZF19|HZF41	zinc finger protein 283	protein-coding
chr3-583	chr3	141079936	141080113	+	1	NA	intron (NM_001080412, intron 1 of 7)	intron (NM_001080412, intron 1 of 7)	-25264	NM_001350099	253461	Hs.518301	NM_152535	ENSG00000177311	ZBTB38	CIBZ|PPP1R171|ZNF921	zinc finger and BTB domain containing 38	protein-coding
chr1-230	chr1	118133041	118133236	+	1	NA	Intergenic	Intergenic	15254	NR_121626	100996263	Hs.202533	NR_121626	ENSG00000236866	LOC100996263	-	uncharacterized LOC100996263	ncRNA
chr8-609	chr8	126464260	126464480	+	1	NA	Intergenic	Intergenic	19919	NM_001282985	10221	Hs.444947	NM_025195	ENSG00000173334	TRIB1	C8FW|GIG-2|GIG2|SKIP1|TRB-1|TRB1	tribbles pseudokinase 1	protein-coding
chr1-341	chr1	181074159	181074352	+	1	NA	Intergenic	CpG	16617	NM_016545	51278	Hs.15725	NM_016545	ENSG00000162783	IER5	SBBI48	immediate early response 5	protein-coding
chr9-92	chr9	97401857	97402077	+	1	NA	promoter-TSS (NM_000507)	promoter-TSS (NM_000507)	-44	NM_000507	2203	Hs.494496	NM_000507	ENSG00000165140	FBP1	FBP	fructose-bisphosphatase 1	protein-coding
chr15-7	chr15	64679871	64680074	+	1	NA	promoter-TSS (NR_109934)	promoter-TSS (NR_109934)	-31	NR_135855	9325	Hs.500340	NM_016213	ENSG00000103671	TRIP4	ASC-1|ASC1|HsT17391|MDCDC|SMABF1|ZC2HC5	thyroid hormone receptor interactor 4	protein-coding
chr2-261	chr2	197036196	197036386	+	1	NA	promoter-TSS (NM_004226)	promoter-TSS (NM_004226)	45	NM_004226	9262	Hs.88297	NM_004226	ENSG00000081320	STK17B	DRAK2	serine/threonine kinase 17b	protein-coding
chr16-687	chr16	68778818	68779031	+	1	NA	intron (NM_004360, intron 2 of 15)	intron (NM_004360, intron 2 of 15)	2505	NR_106988								
chr14-62	chr14	77494407	77494411	+	1	NA	5' UTR (NM_024496, exon 1 of 1)	5' UTR (NM_024496, exon 1 of 1)	633	NM_024496	64207	Hs.179260	NM_024496	ENSG00000119669	IRF2BPL	C14orf4|EAP1	interferon regulatory factor 2 binding protein like	protein-coding
chr3-925	chr3	71632769	71632959	+	1	NA	promoter-TSS (NM_001244808)	promoter-TSS (NM_001244808)	40	NR_146142	27086	Hs.59368	NM_032682	ENSG00000114861	FOXP1	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1	protein-coding
chr11-144	chr11	62554709	62554906	+	1	NA	promoter-TSS (NM_199337)	promoter-TSS (NM_199337)	-67	NM_199337	374395	Hs.381134	NM_199337	ENSG00000185475	TMEM179B	-	transmembrane protein 179B	protein-coding
chr20-880	chr20	61746142	61746357	+	1	NA	Intergenic	Intergenic	-12578	NR_003245	768097	Hs.635159	NR_003245	ENSG00000231133	HAR1B	HAR1R|LINC00065|NCRNA00065	highly accelerated region 1B (non-protein coding)	ncRNA
chr9-66	chr9	137272088	137272226	+	1	NA	TTS (NR_039816)	TTS (NR_039816)	900	NR_039816	100616236		NR_039816	ENSG00000263897	MIR4669	-	microRNA 4669	ncRNA
chr9-169	chr9	77703476	77703617	+	1	NA	promoter-TSS (NM_001330679)	promoter-TSS (NM_001330679)	148	NM_012383	26578	Hs.494192	NM_012383	ENSG00000134996	OSTF1	OSF|SH3P2|bA235O14.1	osteoclast stimulating factor 1	protein-coding
chr5-129	chr5	132585148	132585319	+	1	NA	exon (NM_015082, exon 7 of 16)	exon (NM_015082, exon 7 of 16)	178165	NR_031621	100302134		NR_031621	ENSG00000221287	MIR1289-2	MIRN1289-2|hsa-mir-1289-2	microRNA 1289-2	ncRNA
chr16-176	chr16	28223391	28223537	+	1	NA	promoter-TSS (NM_015171)	promoter-TSS (NM_015171)	-225	NM_015171	23214	Hs.460468	NM_015171	ENSG00000169180	XPO6	EXP6|RANBP20	exportin 6	protein-coding
chr4-96	chr4	26585535	26585751	+	1	NA	promoter-TSS (NM_001292054)	promoter-TSS (NM_001292054)	97	NM_018317	55296	Hs.479403	NM_018317	ENSG00000109680	TBC1D19	-	TBC1 domain family member 19	protein-coding
chr16-484	chr16	88520364	88520532	+	1	NA	intron (NM_153813, intron 1 of 9)	CpG-9711	434	NM_153813	161882	Hs.632218	NM_153813	ENSG00000179588	ZFPM1	FOG|FOG1|ZC2HC11A|ZNF408|ZNF89A	zinc finger protein, FOG family member 1	protein-coding
chr8-29	chr8	90914253	90914408	+	1	NA	promoter-TSS (NM_001126111)	promoter-TSS (NM_001126111)	234	NM_004337	734	Hs.436445	NM_004337	ENSG00000164823	OSGIN2	C8orf1|hT41	oxidative stress induced growth inhibitor family member 2	protein-coding
chr16-144	chr16	85455939	85456050	+	1	NA	Intergenic	Intergenic	-116063	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
chr13-20	chr13	24289461	24289596	+	1	NA	Intergenic	REP522|Satellite|telo	136042	NM_001204458	55504	Hs.149168	NM_018647	ENSG00000127863	TNFRSF19	TAJ|TAJ-alpha|TRADE|TROY	TNF receptor superfamily member 19	protein-coding
chr9-278	chr9	116112463	116112519	+	1	NA	intron (NM_001317943, intron 1 of 5)	intron (NM_001317943, intron 1 of 5)	679	NM_017688	54836	Hs.614517	NM_017688	ENSG00000119411	BSPRY	-	B-box and SPRY domain containing	protein-coding
chr8-18	chr8	129154255	129154436	+	1	NA	Intergenic	Intergenic	-8017	NR_031613	100302281		NR_031613	ENSG00000221261	MIR1208	MIRN1208|hsa-mir-1208	microRNA 1208	ncRNA
chr20-2249	chr20	62887222	62887303	+	1	NA	intron (NM_018257, intron 1 of 5)	CpG	214	NM_001104925	55251	Hs.744845	NM_018257	ENSG00000203880	PCMTD2	C20orf36	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	protein-coding
chr3-565	chr3	128586111	128586244	+	1	NA	intron (NR_034179, intron 3 of 4)	MIR|SINE|MIR	4207	NR_034179	653712	Hs.653243	NR_034179	ENSG00000231305	LOC653712	-	intraflagellar transport 122 homolog (Chlamydomonas) pseudogene	pseudo
chr19-441	chr19	56205647	56205747	+	1	NA	intron (NM_013333, intron 8 of 9)	intron (NM_013333, intron 8 of 9)	17706	NM_001130071	29924	Hs.279953	NM_013333	ENSG00000063245	EPN1	-	epsin 1	protein-coding
chr1-31	chr1	63988852	63989072	+	1	NA	promoter-TSS (NR_045147)	promoter-TSS (NR_045147)	-10	NM_032437	84455	Hs.652324	NM_032437	ENSG00000203965	EFCAB7	-	EF-hand calcium binding domain 7	protein-coding
chr10-20	chr10	126753308	126753518	+	1	NA	intron (NM_001321013, intron 1 of 9)	intron (NM_001321013, intron 1 of 9)	-31974	NR_036178	100423041		NR_036178	ENSG00000264572	MIR4296	-	microRNA 4296	ncRNA
chr8-282	chr8	87120867	87121085	+	1	NA	intron (NM_152565, intron 1 of 7)	intron (NM_152565, intron 1 of 7)	9837	NM_152565	245972	Hs.436360	NM_152565	ENSG00000147614	ATP6V0D2	ATP6D2|VMA6	ATPase H+ transporting V0 subunit d2	protein-coding
chr8-16	chr8	95653212	95653398	+	1	NA	promoter-TSS (NM_001122825)	promoter-TSS (NM_001122825)	-59	NM_001122827	54845	Hs.487471	NM_017697	ENSG00000104413	ESRP1	RBM35A|RMB35A	epithelial splicing regulatory protein 1	protein-coding
chr14-262	chr14	77279231	77279399	+	1	NA	promoter-TSS (NM_015305)	promoter-TSS (NM_015305)	-32	NM_015305	23357	Hs.497448	NM_015305	ENSG00000013523	ANGEL1	Ccr4e|KIAA0759	angel homolog 1	protein-coding
chr1-624	chr1	234791347	234791559	+	1	NA	intron (NR_125944, intron 2 of 3)	intron (NR_125944, intron 2 of 3)	9418	NR_125944	101927787	Hs.520658	NR_125944	ENSG00000228044	LOC101927787	-	uncharacterized LOC101927787	ncRNA
chr15-43	chr15	90300184	90300320	+	1	NA	Intergenic	Intergenic	-5712	NM_018670	55897	Hs.447531	NM_018670	ENSG00000166823	MESP1	bHLHc5	mesoderm posterior bHLH transcription factor 1	protein-coding
chr19-49	chr19	35810048	35810119	+	1	NA	Intergenic	Intergenic	-9986	NM_001278417	933	Hs.579691	NM_001771	ENSG00000012124	CD22	SIGLEC-2|SIGLEC2	CD22 molecule	protein-coding
chr17-168	chr17	3749500	3749720	+	1	NA	promoter-TSS (NM_001114118)	promoter-TSS (NM_001114118)	-65	NM_001114118	55421	Hs.120963	NM_018553	ENSG00000074356	NCBP3	C17orf85|ELG|HSA277841	nuclear cap binding subunit 3	protein-coding
chr8-436	chr8	67525639	67525710	+	1	NA	promoter-TSS (NM_001144755)	promoter-TSS (NM_001144755)	-190	NM_001144755	4603	Hs.445898	NM_001080416	ENSG00000185697	MYBL1	A-MYB|AMYB	MYB proto-oncogene like 1	protein-coding
chr7-39	chr7	116364173	116364264	+	1	NA	intron (NM_000245, intron 2 of 20)	L1PA2|LINE|L1	51774	NM_001324401	4233	Hs.132966	NM_000245	ENSG00000105976	MET	AUTS9|DFNB97|HGFR|RCCP2|c-Met	MET proto-oncogene, receptor tyrosine kinase	protein-coding
chr16-456	chr16	80761257	80761442	+	1	NA	intron (NM_152342, intron 1 of 6)	L1HS|LINE|L1	76826	NM_152342	124359	Hs.60257	NM_152342	ENSG00000166446	CDYL2	PCCP1	chromodomain Y like 2	protein-coding
chr14-432	chr14	68283244	68283425	+	1	NA	promoter-TSS (NM_015346)	promoter-TSS (NM_015346)	-28	NM_015346	23503	Hs.98041	NM_015346	ENSG00000072121	ZFYVE26	FYVE-CENT|SPG15	zinc finger FYVE-type containing 26	protein-coding
chr15-398	chr15	57210703	57210922	+	1	NA	promoter-TSS (NM_003205)	promoter-TSS (NM_003205)	-21	NM_001322154	6938	Hs.511504	NM_003205	ENSG00000140262	TCF12	CRS3|HEB|HTF4|HsT17266|TCF-12|bHLHb20|p64	transcription factor 12	protein-coding
chr6-237	chr6	125475953	125476158	+	1	NA	intron (NM_001003395, intron 1 of 6)	intron (NM_001003395, intron 1 of 6)	720	NM_001003395	7164	Hs.591347	NM_003287	ENSG00000111907	TPD52L1	D53	tumor protein D52 like 1	protein-coding
chr1-84	chr1	161053379	161053586	+	1	NA	intron (NM_030916, intron 1 of 8)	intron (NM_030916, intron 1 of 8)	5903	NM_030916	81607	Hs.492490	NM_030916	ENSG00000143217	NECTIN4	EDSS1|LNIR|PRR4|PVRL4|nectin-4	nectin cell adhesion molecule 4	protein-coding
chr7-42	chr7	157916513	157916703	+	1	NA	intron (NM_130842, intron 8 of 21)	intron (NM_130842, intron 8 of 21)	269331	NR_038966	100506585	Hs.661265	NR_038966	ENSG00000233038	LOC100506585	-	uncharacterized LOC100506585	ncRNA
chr9-192	chr9	117566871	117566993	+	1	NA	intron (NM_005118, intron 1 of 3)	intron (NM_005118, intron 1 of 3)	1476	NM_005118	9966	Hs.23349	NM_005118	ENSG00000181634	TNFSF15	TL1|TL1A|TNLG1B|VEGI|VEGI192A	TNF superfamily member 15	protein-coding
chr20-2137	chr20	55205278	55205315	+	1	NA	intron (NM_003222, intron 1 of 6)	CpG-16801	938	NM_003222	7022	Hs.473152	NM_003222	ENSG00000087510	TFAP2C	AP2-GAMMA|ERF1|TFAP2G|hAP-2g	transcription factor AP-2 gamma	protein-coding
chr12-42	chr12	52541239	52541455	+	1	NA	Intergenic	Intergenic	44437	NM_182507	144501	Hs.140978	NM_182507	ENSG00000167767	KRT80	KB20	keratin 80	protein-coding
chr9-174	chr9	86047175	86047359	+	1	NA	intron (NM_001244959, intron 1 of 14)	intron (NM_001244959, intron 1 of 14)	35390	NM_001244960	257019	Hs.127535	NM_174938	ENSG00000172159	FRMD3	4.1O|EPB41L4O|EPB41LO|P410	FERM domain containing 3	protein-coding
chr16-54	chr16	4071168	4071388	+	1	NA	intron (NM_001116, intron 2 of 10)	intron (NM_001116, intron 2 of 10)	-70833	NR_120311	102724927	Hs.364739	NR_120311	ENSG00000262185	LOC102724927	-	uncharacterized LOC102724927	ncRNA
chr12-180	chr12	56473781	56473782	+	1	NA	promoter-TSS (NM_001982)	promoter-TSS (NM_001982)	-28	NM_001982	2065	Hs.118681	NM_001982	ENSG00000065361	ERBB3	ErbB-3|HER3|LCCS2|MDA-BF-1|c-erbB-3|c-erbB3|erbB3-S|p180-ErbB3|p45-sErbB3|p85-sErbB3	erb-b2 receptor tyrosine kinase 3	protein-coding
chr3-59	chr3	149470247	149470433	+	1	NA	promoter-TSS (NR_135149)	promoter-TSS (NR_135149)	-54	NR_135149	51122	Hs.432729	NM_016094	ENSG00000114744	COMMD2	HSPC042	COMM domain containing 2	protein-coding
chr16-303	chr16	81601962	81602168	+	1	NA	intron (NM_030629, intron 1 of 20)	intron (NM_030629, intron 1 of 20)	34558	NR_107008	102465840		NR_107008	ENSG00000277255	MIR7854	hsa-mir-7854	microRNA 7854	ncRNA
chr14-31	chr14	52456024	52456213	+	1	NA	promoter-TSS (NM_016039)	promoter-TSS (NM_016039)	-110	NM_016039	51637	Hs.534457	NM_016039	ENSG00000087302	RTRAF	C14orf166|CGI-99|CGI99|CLE|CLE7|LCRP369|RLLM1|hCLE|hCLE1	RNA transcription, translation and transport factor	protein-coding
chr9-15	chr9	110303886	110304100	+	1	NA	Intergenic	Intergenic	-51992	NM_004235	9314	Hs.376206	NM_004235	ENSG00000136826	KLF4	EZF|GKLF	Kruppel like factor 4	protein-coding
chr15-48	chr15	63189294	63189435	+	1	NA	Intergenic	Intergenic	73208	NR_029709	406965		NR_029709	ENSG00000211137	MIR190A	MIR190|MIRN190|hsa-mir-190a|miR-190|mir-190a	microRNA 190a	ncRNA
chr3-1	chr3	169939829	169940043	+	1	NA	promoter-TSS (NM_002740)	promoter-TSS (NM_002740)	-284	NM_002740	5584	Hs.478199	NM_002740	ENSG00000163558	PRKCI	DXS1179E|PKCI|nPKC-iota	protein kinase C iota	protein-coding
chrX-12	chrX	118228426	118228627	+	1	NA	intron (NM_020721, intron 8 of 13)	MIRb|SINE|MIR	56016	NM_020721	57481	Hs.97594	NM_020721	ENSG00000250423	KIAA1210	-	KIAA1210	protein-coding
chr3-135	chr3	31330288	31330502	+	1	NA	Intergenic	Intergenic	-127116	NR_130459	100423038		NR_130459	ENSG00000265376	MIR466	hsa-mir-466	microRNA 466	ncRNA
chr6-56	chr6	35744422	35744633	+	1	NA	non-coding (NR_104469, exon 1 of 2)	non-coding (NR_104469, exon 1 of 2)	156	NR_104467	389383	Hs.259563	NM_207409	ENSG00000196748	CLPSL2	AAAL3045|C6orf126|UNQ3045|dJ510O8.5	colipase like 2	protein-coding
chr11-6	chr11	63861977	63862197	+	1	NA	intron (NM_014067, intron 3 of 10)	intron (NM_014067, intron 3 of 10)	-9275	NM_013280	23769	Hs.584876	NM_013280	ENSG00000126500	FLRT1	SPG68	fibronectin leucine rich transmembrane protein 1	protein-coding
chr6-78	chr6	28104545	28104747	+	1	NA	non-coding (NR_103455, exon 1 of 3)	non-coding (NR_103455, exon 1 of 3)	448	NR_103455	100129195	Hs.659413	NR_103455	ENSG00000269293	ZSCAN16-AS1	-	ZSCAN16 antisense RNA 1	ncRNA
chr2-506	chr2	25094987	25095140	+	1	NA	intron (NM_001320613, intron 3 of 21)	intron (NM_001320613, intron 3 of 21)	47823	NM_001320613	109	Hs.467898	NM_004036	ENSG00000138031	ADCY3	AC-III|AC3|BMIQ19	adenylate cyclase 3	protein-coding
chr17-3	chr17	59308452	59308633	+	1	NA	intron (NM_001099432, intron 23 of 24)	L1PA16|LINE|L1	136523	NR_136397	101927855	Hs.662123	NR_136397	ENSG00000267131	LOC101927855	-	uncharacterized LOC101927855	ncRNA
chr3-172	chr3	156530334	156530480	+	1	NA	promoter-TSS (NR_003284)	promoter-TSS (NR_003284)	-597	NR_003284	647033	Hs.745109	NR_003284		PA2G4P4	PA2G4L1	proliferation-associated 2G4 pseudogene 4	pseudo
chr12-357	chr12	125412418	125412609	+	1	NA	Intergenic	Intergenic	12420	NR_049820	100847004		NR_049820	ENSG00000265345	MIR5188	mir-5188	microRNA 5188	ncRNA
chr19-210	chr19	33183074	33183221	+	1	NA	exon (NM_001105570, exon 1 of 3)	exon (NM_001105570, exon 1 of 3)	280	NM_001105570	390916	Hs.203961	NM_001105570	ENSG00000213965	NUDT19	RP2	nudix hydrolase 19	protein-coding
chr19-40	chr19	48825339	48825518	+	1	NA	Intergenic	CpG	-2096	NM_144577	93233	Hs.112645	NM_144577	ENSG00000105479	CCDC114	CILD20	coiled-coil domain containing 114	protein-coding
chr3-758	chr3	50606776	50606988	+	1	NA	5' UTR (NM_016173, exon 1 of 11)	5' UTR (NM_016173, exon 1 of 11)	299	NM_016173	51409	Hs.517987	NM_016173	ENSG00000114735	HEMK1	HEMK|MTQ1	HemK methyltransferase family member 1	protein-coding
chr18-2	chr18	3247620	3247821	+	1	NA	5' UTR (NM_006471, exon 1 of 4)	5' UTR (NM_006471, exon 1 of 4)	192	NM_001303047	10627	Hs.190086	NM_006471	ENSG00000101608	MYL12A	HEL-S-24|MLC-2B|MLCB|MRCL3|MRLC3|MYL2B	myosin light chain 12A	protein-coding
chr3-128	chr3	10362703	10362761	+	1	NA	promoter-TSS (NM_001136232)	promoter-TSS (NM_001136232)	-7	NM_001136232	6396	Hs.166924	NM_030673	ENSG00000157020	SEC13	D3S1231E|SEC13L1|SEC13R|npp-20	SEC13 homolog, nuclear pore and COPII coat complex component	protein-coding
chr8-434	chr8	66754642	66754762	+	1	NA	promoter-TSS (NM_001242318)	promoter-TSS (NM_001242318)	-733	NM_001242318	5150	Hs.527119	NM_002603	ENSG00000205268	PDE7A	HCP1|PDE7	phosphodiesterase 7A	protein-coding
chr16-352	chr16	3692724	3692925	+	1	NA	Intergenic	Intergenic	-10116	NM_005223	1773	Hs.629638	NM_005223	ENSG00000213918	DNASE1	DNL1|DRNI	deoxyribonuclease 1	protein-coding
chr8-125	chr8	29412975	29413149	+	1	NA	Intergenic	Intergenic	192563	NR_026765	619351	Hs.566911	NR_026765	ENSG00000251191	LINC00589	C8orf75|TSLNC8	long intergenic non-protein coding RNA 589	ncRNA
chr9-145	chr9	132536011	132536216	+	1	NA	Intergenic	Intergenic	-20769	NM_004878	9536	Hs.146688	NM_004878	ENSG00000148344	PTGES	MGST-IV|MGST1-L1|MGST1L1|MPGES|PGES|PIG12|PP102|PP1294|TP53I12|mPGES-1	prostaglandin E synthase	protein-coding
chr9-53	chr9	135820027	135820152	+	1	NA	promoter-TSS (NM_004188)	promoter-TSS (NM_004188)	-69	NM_000368	7248	Hs.370854	NM_000368	ENSG00000165699	TSC1	LAM|TSC	TSC complex subunit 1	protein-coding
chr21-78	chr21	43729928	43730134	+	1	NA	Intergenic	Intergenic	5675	NM_003226	7033	Hs.82961	NM_003226	ENSG00000160180	TFF3	ITF|P1B|TFI	trefoil factor 3	protein-coding
chr2-181	chr2	221089879	221090051	+	1	NA	Intergenic	Intergenic	-318679	NR_036228	100422959		NR_036228	ENSG00000266518	MIR4268	-	microRNA 4268	ncRNA
chr15-152	chr15	55611176	55611386	+	1	NA	5' UTR (NM_001308423, exon 1 of 2)	5' UTR (NM_001308423, exon 1 of 2)	111	NM_001308423	101928527	Hs.493512	NM_001308421	ENSG00000225973	PIGBOS1	HP06981	PIGB opposite strand 1	protein-coding
chr7-459	chr7	36343093	36343239	+	1	NA	Intergenic	Intergenic	63616	NM_001199707	23366	Hs.6224	NM_015314	ENSG00000164542	KIAA0895	-	KIAA0895	protein-coding
chr9-350	chr9	140473352	140473559	+	1	NA	promoter-TSS (NM_001346388)	promoter-TSS (NM_001346388)	-68	NM_001346395	92715	Hs.292570	NM_138778	ENSG00000148399	DPH7	C9orf112|RRT2|WDR85	diphthamide biosynthesis 7	protein-coding
chr10-367	chr10	102106848	102107042	+	1	NA	5' UTR (NM_005063, exon 1 of 6)	5' UTR (NM_005063, exon 1 of 6)	173	NM_005063	6319	Hs.558396	NM_005063	ENSG00000099194	SCD	FADS5|MSTP008|SCD1|SCDOS|hSCD1	stearoyl-CoA desaturase	protein-coding
chr2-641	chr2	109830598	109830803	+	1	NA	intron (NM_001099289, intron 1 of 9)	L2b|LINE|L2	-72656	NR_036223	100422863		NR_036223	ENSG00000264934	MIR4265	-	microRNA 4265	ncRNA
chr7-138	chr7	92219640	92219763	+	1	NA	promoter-TSS (NM_152789)	promoter-TSS (NM_152789)	-5	NR_034169	728066	Hs.470311	NR_034169		FAM133DP	-	family with sequence similarity 133, member A pseudogene	pseudo
chr2-96	chr2	227702999	227703185	+	1	NA	intron (NM_001349072, intron 2 of 7)	intron (NM_001349072, intron 2 of 7)	2461	NM_001167608	84236	Hs.471514	NM_032276	ENSG00000144468	RHBDD1	RHBDL4|RRP4	rhomboid domain containing 1	protein-coding
chr10-409	chr10	134778760	134778921	+	1	NA	promoter-TSS (NR_120627)	promoter-TSS (NR_120627)	-47	NR_120627	101927590	Hs.448598	NR_120626	ENSG00000232903	LINC01166	-	long intergenic non-protein coding RNA 1166	ncRNA
chr3-115	chr3	126832002	126832189	+	1	NA	Intergenic	L1M4|LINE|L1	-79879	NM_001007534	285311	Hs.591284	NM_001007534	ENSG00000214324	C3orf56	-	chromosome 3 open reading frame 56	protein-coding
chr3-537	chr3	87276332	87276480	+	1	NA	promoter-TSS (NM_001244644)	promoter-TSS (NM_001244644)	-7	NM_014043	25978	Hs.476930	NM_014043	ENSG00000083937	CHMP2B	ALS17|CHMP2.5|DMT1|VPS2-2|VPS2B	charged multivesicular body protein 2B	protein-coding
chr3-9	chr3	9404698	9404889	+	1	NA	promoter-TSS (NM_015453)	promoter-TSS (NM_015453)	76	NM_015453	25917	Hs.443081	NM_015453	ENSG00000134077	THUMPD3	-	THUMP domain containing 3	protein-coding
chr7-246	chr7	158611282	158611455	+	1	NA	intron (NM_020728, intron 1 of 21)	intron (NM_020728, intron 1 of 21)	10951	NM_020728	57488	Hs.490795	NM_020728	ENSG00000117868	ESYT2	CHR2SYT|E-Syt2|FAM62B	extended synaptotagmin 2	protein-coding
chr20-1762	chr20	33264891	33264945	+	1	NA	5' UTR (NM_080476, exon 1 of 12)	5' UTR (NM_080476, exon 1 of 12)	171	NM_080476	128869	Hs.253319	NM_080476	ENSG00000101464	PIGU	CDC91L1|GAB1	phosphatidylinositol glycan anchor biosynthesis class U	protein-coding
chr2-237	chr2	121156845	121157038	+	1	NA	Intergenic	Intergenic	53223	NM_002193	3625	Hs.1735	NM_002193	ENSG00000163083	INHBB	-	inhibin subunit beta B	protein-coding
chr5-87	chr5	89854797	89855012	+	1	NA	intron (NR_003149, intron 1 of 89)	CpG	287	NR_003149	84059	Hs.591777	NM_032119	ENSG00000164199	ADGRV1	FEB4|GPR98|MASS1|USH2B|USH2C|VLGR1|VLGR1b	adhesion G protein-coupled receptor V1	protein-coding
chr20-362	chr20	34204060	34204221	+	1	NA	exon (NM_003116, exon 1 of 12)	exon (NM_003116, exon 1 of 12)	334	NM_001317931	6676	Hs.123159	NM_003116	ENSG00000061656	SPAG4	CT127|SUN4	sperm associated antigen 4	protein-coding
chr19-155	chr19	617416	617557	+	1	NA	TTS (NM_001194)	TTS (NM_001194)	16082	NM_005035	5442	Hs.254113	NM_005035	ENSG00000099821	POLRMT	APOLMT|MTRNAP|MTRPOL|h-mtRPOL	RNA polymerase mitochondrial	protein-coding
chr12-334	chr12	118810853	118810915	+	1	NA	promoter-TSS (NM_001346492)	promoter-TSS (NM_001346492)	-134	NM_001346491	51347	Hs.644420	NM_016281	ENSG00000135090	TAOK3	DPK|JIK|MAP3K18|hKFC-A	TAO kinase 3	protein-coding
chr16-27	chr16	10688497	10688717	+	1	NA	Intergenic	Intergenic	-14034	NM_001424	2013	Hs.531561	NM_001424	ENSG00000213853	EMP2	XMP	epithelial membrane protein 2	protein-coding
chr16-661	chr16	47494958	47495152	+	1	NA	promoter-TSS (NM_001031835)	promoter-TSS (NM_001031835)	130	NM_001305002	81533	Hs.42217	NM_030790	ENSG00000129636	ITFG1	2310047C21Rik|CDA08|LNKN-1|TIP	integrin alpha FG-GAP repeat containing 1	protein-coding
chrX-145	chrX	128659213	128659386	+	1	NA	Intergenic	Intergenic	-1817	NM_003069	6594	Hs.152292	NM_003069	ENSG00000102038	SMARCA1	ISWI|NURF140|SNF2L|SNF2L1|SNF2LB|SNF2LT|SWI|SWI2|hSNF2L	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	protein-coding
